Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Team_Total_Targets,Target_Share
154,Lil'Jordan Humphrey,26,DEN,WR,17,7,45,31,293,12,101,3.3,192,6.2,6.5,3.0,10.3,3,6.7,75.5,549,8.2
155,Ricky Pearsall,24,SFO,WR,11,4,46,31,400,19,286,9.2,114,3.7,11.4,1.0,31.0,0,0.0,89.0,513,8.97
156,Demarcus Robinson,30,LAR,WR,17,17,64,31,505,27,434,14.0,71,2.3,14.2,1.0,31.0,1,1.6,85.7,541,11.83
157,Curtis Samuel,28,BUF,WR,14,2,46,31,253,9,93,3.0,160,5.2,4.6,1.0,31.0,1,2.2,79.3,495,9.29
158,KaVontae Turpin,28,DAL,WR,17,2,52,31,420,18,160,5.2,260,8.4,8.5,2.0,15.5,2,3.8,82.2,622,8.36
159,AJ Barner,22,SEA,TE,17,6,38,30,245,18,81,2.7,164,5.5,3.6,1.0,30.0,3,7.9,117.7,569,6.68
160,Dyami Brown,25,WAS,WR,16,3,40,30,308,13,90,3.0,218,7.3,7.1,4.0,7.5,2,5.0,105.0,504,7.94
161,Colby Parkinson,25,LAR,TE,17,9,49,30,294,15,134,4.5,160,5.3,5.3,1.0,30.0,2,4.1,84.9,541,9.06
162,Tyjae Spears,23,TEN,RB,12,1,35,30,224,9,-31,-1.0,255,8.5,-1.2,4.0,7.5,1,2.9,102.9,507,6.9
163,Keon Coleman,21,BUF,WR,13,12,57,29,556,22,341,11.8,215,7.4,15.2,4.0,7.3,4,7.0,93.9,495,11.52
164,Theo Johnson,23,NYG,TE,12,11,43,29,331,16,182,6.3,149,5.1,6.7,1.0,29.0,5,11.6,88.4,554,7.76
165,Cedric Tillman,24,CLE,WR,11,6,49,29,339,15,235,8.1,104,3.6,11.1,4.0,7.3,3,6.1,83.6,634,7.73
166,Christian Watson,25,GNB,WR,15,15,53,29,620,21,471,16.2,149,5.1,17.8,0.0,,2,3.8,93.3,464,11.42
167,Kendrick Bourne,29,NWE,WR,12,9,38,28,305,13,211,7.5,94,3.4,9.3,0.0,,4,10.5,105.7,500,7.6
168,Troy Franklin,21,DEN,WR,16,6,53,28,263,11,100,3.6,163,5.8,13.0,1.0,28.0,3,5.7,71.5,549,9.65
169,Jalen Nailor,25,MIN,WR,17,7,42,28,414,22,308,11.0,106,3.8,11.5,0.0,,4,9.5,138.3,517,8.12
170,Samaje Perine,29,KAN,RB,17,0,35,28,322,15,9,0.3,313,11.2,0.3,3.0,9.3,1,2.9,114.5,572,6.12
171,Josh Whyle,25,TEN,TE,17,4,37,28,248,14,105,3.8,143,5.1,5.6,1.0,28.0,1,2.7,102.1,507,7.3
172,Christian Kirk,28,JAX,WR,8,7,47,27,379,18,266,9.9,113,4.2,13.7,1.0,27.0,1,2.1,72.9,522,9.0
173,Luke Schoonmaker,26,DAL,TE,17,6,36,27,241,11,144,5.3,97,3.6,5.5,0.0,,0,0.0,101.7,622,5.79
174,Brandin Cooks,31,DAL,WR,10,9,54,26,259,19,204,7.8,55,2.1,11.7,0.0,,1,1.9,65.3,622,8.68
175,Tyler Johnson,26,LAR,WR,15,2,41,26,291,10,108,4.2,183,7.0,5.6,0.0,,1,2.4,72.3,541,7.58
176,Malik Washington,23,MIA,WR,14,3,36,26,223,13,100,3.8,123,4.7,5.4,1.0,26.0,2,5.6,88.1,568,6.34
177,Brandon Aiyuk,26,SFO,WR,7,7,47,25,374,19,267,10.7,107,4.3,11.9,2.0,12.5,4,8.5,61.8,513,9.16
178,Grant Calcaterra,26,PHI,TE,17,13,30,24,298,15,172,7.2,126,5.3,7.3,0.0,,0,0.0,119.2,418,7.18
179,Van Jefferson,28,PIT,WR,17,12,40,24,276,12,198,8.3,78,3.3,11.6,0.0,,0,0.0,97.5,460,8.7
180,Jaleel McLaughlin,24,DEN,RB,16,5,27,24,76,3,-91,-3.8,167,7.0,-3.8,1.0,24.0,0,0.0,103.9,549,4.92
181,John Metchie,24,HOU,WR,13,3,37,24,254,11,185,7.7,69,2.9,9.0,0.0,,0,0.0,82.5,547,6.76
182,Rashee Rice,24,KAN,WR,4,4,29,24,288,15,102,4.3,186,7.8,5.2,4.0,6.0,1,3.4,116.7,572,5.07
183,Miles Sanders,27,CAR,RB,11,2,30,24,148,5,-2,-0.1,150,6.3,1.4,1.0,24.0,0,0.0,84.4,518,5.79
184,Antonio Gibson,26,NWE,RB,17,3,29,23,206,11,-7,-0.3,213,9.3,1.8,3.0,7.7,1,3.4,67.5,500,5.8
185,Taysom Hill,34,NOR,TE,8,8,31,23,187,8,50,2.2,137,6.0,3.5,2.0,11.5,2,6.5,89.0,517,6.0
186,Kareem Hunt,29,KAN,RB,13,8,32,23,176,10,-40,-1.7,216,9.4,-1.9,4.0,5.8,0,0.0,84.9,572,5.59
187,Adonai Mitchell,22,IND,WR,17,7,55,23,312,16,211,9.2,101,4.4,14.1,0.0,,4,7.3,60.6,492,11.18
188,Zack Moss,27,CIN,RB,8,6,27,23,187,11,-7,-0.3,194,8.4,0.1,3.0,7.7,1,3.7,107.9,628,4.3
189,Tommy Tremble,24,CAR,TE,12,11,32,23,234,12,109,4.7,125,5.4,5.7,1.0,23.0,1,3.1,100.3,518,6.18
190,Dawson Knox,28,BUF,TE,16,13,33,22,311,12,217,9.9,94,4.3,8.8,0.0,,1,3.0,94.4,495,6.67
191,Josh Oliver,27,MIN,TE,15,12,28,22,258,14,129,5.9,129,5.9,7.8,0.0,,2,7.1,140.8,517,5.42
192,Justin Watson,28,KAN,WR,17,7,32,22,289,13,221,10.0,68,3.1,15.1,0.0,,2,6.3,117.8,572,5.59
193,Jordan Whittington,24,LAR,WR,15,3,28,22,293,14,90,4.1,203,9.2,3.8,1.0,22.0,0,0.0,110.3,541,5.18
194,Michael Mayer,23,LVR,TE,11,8,32,21,156,8,95,4.5,61,2.9,6.2,2.0,10.5,2,6.3,77.1,592,5.41
195,Devin Singletary,27,NYG,RB,15,5,24,21,119,4,-59,-2.8,178,8.5,-2.8,1.0,21.0,1,4.2,52.6,554,4.33
196,Mike Williams,30,2TM,WR,18,5,34,21,298,14,263,12.5,35,1.7,15.2,0.0,,2,5.9,75.4,481,7.07
196,Mike Williams,30,NYJ,WR,9,3,21,12,166,9,142,11.8,24,2.0,14.5,0.0,,2,9.5,43.1,589,3.57
196,Mike Williams,30,PIT,WR,9,2,13,9,132,5,121,13.4,11,1.2,16.5,0.0,,0,0.0,127.7,460,2.83
197,Erick All,24,CIN,TE,9,6,22,20,158,8,71,3.6,87,4.4,3.4,1.0,20.0,1,4.5,96.6,628,3.5
198,Gabriel Davis,25,JAX,WR,10,9,42,20,239,13,200,10.0,39,2.0,13.2,0.0,,0,0.0,61.5,522,8.05
199,Elijah Higgins,24,ARI,TE,17,6,24,20,172,10,82,4.1,90,4.5,4.5,3.0,6.7,1,4.2,124.3,523,4.59
200,Brian Robinson Jr.,25,WAS,RB,14,13,25,20,159,4,-20,-1.0,179,9.0,-0.9,1.0,20.0,0,0.0,76.5,504,4.96
201,Drew Sample,28,CIN,TE,17,15,22,20,109,8,28,1.4,81,4.1,1.5,1.0,20.0,0,0.0,102.5,628,3.5
202,Rashid Shaheed,26,NOR,WR,6,5,41,20,349,12,243,12.2,106,5.3,17.6,0.0,,0,0.0,63.0,517,7.93
203,Cedrick Wilson Jr.,29,NOR,WR,15,4,27,20,211,8,122,6.1,89,4.5,7.3,1.0,20.0,3,11.1,93.3,517,5.22
204,Robert Woods,32,HOU,WR,15,4,30,20,203,12,130,6.5,73,3.7,9.6,0.0,,1,3.3,85.8,547,5.48
205,Braelon Allen,20,NYJ,RB,17,2,27,19,148,8,-15,-0.8,163,8.6,-0.2,2.0,9.5,4,14.8,95.9,589,4.58
206,Jahan Dotson,24,PHI,WR,17,6,33,19,216,12,144,7.6,72,3.8,9.9,0.0,,0,0.0,77.3,418,7.89
207,Derrick Henry,30,BAL,RB,17,17,22,19,193,11,-23,-1.2,216,11.4,-1.1,8.0,2.4,1,4.5,133.5,457,4.81
208,Tanner Hudson,30,CIN,TE,11,0,23,19,154,9,57,3.0,97,5.1,4.3,0.0,,1,4.3,109.1,628,3.66
209,Kyle Juszczyk,33,SFO,FB,17,15,31,19,200,8,107,5.6,93,4.9,6.0,0.0,,1,3.2,88.1,513,6.04
210,Lucas Krull,26,DEN,TE,13,2,23,19,152,7,85,4.5,67,3.5,5.1,2.0,9.5,0,0.0,94.2,549,4.19
211,Raheem Mostert,32,MIA,RB,13,1,23,19,161,10,15,0.8,146,7.7,0.6,2.0,9.5,0,0.0,95.8,568,4.05
212,Johnny Mundt,30,MIN,TE,17,3,27,19,142,8,59,3.1,83,4.4,4.1,2.0,9.5,2,7.4,107.3,517,5.22
213,Dare Ogunbowale,30,HOU,RB,17,1,28,19,198,8,30,1.6,168,8.8,1.7,0.0,,2,7.1,100.0,547,5.12
214,Darnell Washington,23,PIT,TE,17,9,25,19,200,9,74,3.9,126,6.6,4.3,2.0,9.5,0,0.0,95.4,460,5.43
215,Marquez Valdes-Scantling,30,2TM,WR,14,8,44,19,411,14,268,14.1,143,7.5,17.4,1.0,19.0,2,4.5,97.8,481,9.15
215,Marquez Valdes-Scantling,30,BUF,WR,6,0,9,2,26,1,20,10.0,6,3.0,15.7,0.0,,0,0.0,39.6,495,1.82
215,Marquez Valdes-Scantling,30,NOR,WR,8,8,35,17,385,13,248,14.6,137,8.1,17.8,1.0,17.0,2,5.7,114.6,517,6.77
216,Ty Johnson,27,BUF,RB,17,1,25,18,284,14,114,6.3,170,9.4,8.2,1.0,18.0,0,0.0,149.0,495,5.05
217,Luke McCaffrey,23,WAS,WR,17,4,24,18,168,8,71,3.9,97,5.4,7.1,1.0,18.0,1,4.2,59.0,504,4.76
218,Jeremy Ruckert,24,NYJ,TE,17,9,28,18,105,6,21,1.2,84,4.7,3.4,0.0,,2,7.1,71.3,589,4.75
219,JuJu Smith-Schuster,28,KAN,WR,14,8,26,18,231,11,76,4.2,155,8.6,5.6,4.0,4.5,2,7.7,106.4,572,4.55
220,Jonathan Taylor,25,IND,RB,14,13,31,18,136,7,-14,-0.8,150,8.3,-0.3,2.0,9.0,3,9.7,66.1,492,6.3
221,Ray Davis,25,BUF,RB,17,0,19,17,189,8,25,1.5,164,9.6,0.8,0.0,,0,0.0,147.7,495,3.84
222,Kalif Raymond,30,DET,WR,12,2,22,17,215,10,78,4.6,137,8.1,8.0,0.0,,0,0.0,137.5,522,4.21
223,Nick Vannett,31,TEN,TE,17,10,20,17,135,7,25,1.5,110,6.5,1.1,0.0,,0,0.0,113.5,507,3.94
224,Jonathan Mingo,23,2TM,WR,17,6,42,17,167,6,100,5.9,67,3.9,10.5,1.0,17.0,2,4.8,42.5,481,8.73
224,Jonathan Mingo,23,CAR,WR,9,5,26,12,121,4,57,4.8,64,5.3,8.7,1.0,12.0,2,7.7,43.9,518,5.02
224,Jonathan Mingo,23,DAL,WR,8,1,16,5,46,2,43,8.6,3,0.6,13.3,0.0,,0,0.0,40.6,622,2.57
225,Emari Demercado,25,ARI,RB,13,0,20,16,104,3,9,0.6,95,5.9,1.3,1.0,16.0,0,0.0,88.3,523,3.82
226,Kenneth Gainwell,25,PHI,RB,17,1,22,16,116,5,8,0.5,108,6.8,1.0,4.0,4.0,0,0.0,84.7,418,5.26
227,Roschon Johnson,23,CHI,RB,14,0,20,16,104,6,8,0.5,96,6.0,0.6,4.0,4.0,0,0.0,88.3,527,3.8
228,Trey Sermon,25,IND,RB,17,3,19,16,99,3,0,0.0,99,6.2,0.3,1.0,16.0,1,5.3,88.4,492,3.86
229,Stone Smartt,26,LAC,TE,15,2,19,16,208,11,142,8.9,66,4.1,10.1,0.0,,2,10.5,112.3,491,3.87
230,DJ Turner,27,LVR,WR,12,6,29,16,158,9,75,4.7,83,5.2,8.8,2.0,8.0,1,3.4,53.5,592,4.9
231,Isaac Guerendo,24,SFO,RB,16,3,16,15,152,7,45,3.0,107,7.1,3.1,1.0,15.0,0,0.0,106.2,513,3.12
232,Christian McCaffrey,28,SFO,RB,4,4,19,15,146,6,48,3.2,98,6.5,3.2,1.0,15.0,0,0.0,76.8,513,3.7
233,Cade Stover,24,HOU,TE,15,9,22,15,133,5,39,2.6,94,6.3,5.4,2.0,7.5,1,4.5,99.2,547,4.02
234,Nate Adkins,25,DEN,TE,17,10,15,14,115,6,39,2.8,76,5.4,4.1,1.0,14.0,0,0.0,138.2,549,2.73
235,Nelson Agholor,31,BAL,WR,14,7,29,14,231,10,146,10.4,85,6.1,13.4,1.0,14.0,4,13.8,98.5,457,6.35
236,Daniel Bellinger,24,NYG,TE,17,8,17,14,125,8,72,5.1,53,3.8,5.1,0.0,,0,0.0,97.3,554,3.07
237,Kylen Granson,26,IND,TE,17,6,31,14,182,8,73,5.2,109,7.8,11.3,0.0,,1,3.2,37.3,492,6.3
238,Pierre Strong,26,CLE,RB,14,0,22,14,104,3,-19,-1.4,123,8.8,0.3,2.0,7.0,2,9.1,74.8,634,3.47
239,Mason Tipton,24,NOR,WR,11,1,26,14,99,2,72,5.1,27,1.9,12.4,1.0,14.0,1,3.8,62.8,517,5.03
240,Cam Akers,25,2TM,RB,17,2,18,14,68,4,-15,-1.1,83,5.9,-1.5,0.0,,0,0.0,122.0,481,3.74
240,Cam Akers,25,HOU,RB,5,2,7,4,16,1,5,1.3,11,2.8,-0.6,0.0,,0,0.0,101.8,547,1.28
240,Cam Akers,25,MIN,RB,12,0,11,10,52,3,-20,-2.0,72,7.2,-2.1,0.0,,0,0.0,125.9,517,2.13
241,Tyler Allgeier,24,ATL,RB,17,0,13,13,88,2,-5,-0.4,93,7.2,-0.4,2.0,6.5,0,0.0,94.9,539,2.41
242,Jake Bobo,26,SEA,WR,17,3,17,13,107,8,80,6.2,27,2.1,8.1,0.0,,1,5.9,111.6,569,2.99
243,Derius Davis,24,LAC,WR,15,2,17,13,112,5,-7,-0.5,119,9.2,3.8,1.0,13.0,0,0.0,132.5,491,3.46
244,Adam Trautman,27,DEN,TE,17,14,22,13,188,8,90,6.9,98,7.5,5.5,0.0,,1,4.5,117.2,549,4.01
245,Brock Wright,26,DET,TE,17,8,16,13,100,7,25,1.9,75,5.8,5.1,1.0,13.0,0,0.0,106.2,522,3.07
246,Josh Reynolds,29,2TM,WR,9,2,24,13,194,8,159,12.2,35,2.7,11.0,0.0,,0,0.0,94.8,481,4.99
246,Josh Reynolds,29,DEN,WR,5,1,19,12,183,8,148,12.3,35,2.9,11.4,0.0,,0,0.0,112.4,549,3.46
246,Josh Reynolds,29,JAX,WR,4,1,5,1,11,0,11,11.0,0,0.0,0.0,39.6,,ReynJo00,,,522,0.96
247,Mo Alie-Cox,31,IND,TE,17,13,22,12,147,7,98,8.2,49,4.1,9.6,0.0,,1,4.5,71.6,492,4.47
248,Jalen Brooks,24,DAL,WR,14,1,30,12,177,8,140,11.7,37,3.1,13.5,1.0,12.0,1,3.3,43.3,622,4.82
249,Ezekiel Elliott,29,DAL,RB,15,2,15,12,69,3,-28,-2.3,97,8.1,-1.8,1.0,12.0,0,0.0,85.8,622,2.41
250,Luke Farrell,27,JAX,TE,17,8,17,12,67,4,37,3.1,30,2.5,4.8,1.0,12.0,1,5.9,52.8,522,3.26
251,Mecole Hardman,26,KAN,WR,12,0,14,12,90,6,-9,-0.8,99,8.3,-1.0,0.0,,0,0.0,93.5,572,2.45
252,Julian Hill,24,MIA,TE,16,11,19,12,100,5,42,3.5,58,4.8,6.3,3.0,4.0,2,10.5,76.6,568,3.35
253,Xavier Hutchinson,24,HOU,WR,16,3,26,12,117,6,80,6.7,37,3.1,9.7,0.0,,2,7.7,43.3,547,4.75
254,DErnest Johnson,28,JAX,RB,14,1,19,12,96,3,-5,-0.4,101,8.4,0.4,0.0,,0,0.0,53.8,522,3.64
255,Hunter Luepke,24,DAL,RB,16,4,16,12,111,5,27,2.3,84,7.0,2.4,0.0,,0,0.0,93.5,622,2.57
256,Ryan Miller,24,TAM,WR,11,3,20,12,128,7,73,6.1,55,4.6,8.8,0.0,,2,10.0,91.2,563,3.55
257,Jordan Mims,25,NOR,RB,11,0,18,12,71,4,-9,-0.8,80,6.7,0.2,1.0,12.0,2,11.1,74.1,517,3.48
258,Isiah Pacheco,25,KAN,RB,7,6,16,12,79,4,-40,-3.3,119,9.9,-1.4,1.0,12.0,1,6.3,85.2,572,2.8
259,Trey Palmer,23,TAM,WR,15,3,22,12,172,7,130,10.8,42,3.5,14.5,0.0,,1,4.5,95.3,563,3.91
260,Cordarrelle Patterson,33,PIT,RB,13,1,14,12,80,5,24,2.0,56,4.7,3.0,1.0,12.0,0,0.0,84.5,460,3.04
261,Dante Pettis,29,NOR,WR,8,0,28,12,120,8,84,7.0,36,3.0,10.1,2.0,6.0,1,3.6,67.6,517,5.42
262,Ja'Lynn Polk,22,NWE,WR,15,7,33,12,87,4,74,6.2,13,1.1,11.5,0.0,,4,12.1,52.5,500,6.6
263,Kevin Austin,24,NOR,WR,8,2,22,11,151,10,114,10.4,37,3.4,11.6,0.0,,2,9.1,53.4,517,4.26
264,Chris Brooks,24,GNB,RB,15,0,13,11,69,2,-26,-2.4,95,8.6,-1.7,1.0,11.0,1,7.7,88.8,464,2.8
265,Michael Carter,25,ARI,RB,3,1,11,11,57,2,-16,-1.5,73,6.6,-1.5,2.0,5.5,0,0.0,88.3,523,2.1
266,Payne Durham,24,TAM,TE,16,6,14,11,115,5,91,8.3,24,2.2,8.9,0.0,,0,0.0,140.5,563,2.49
267,Devin Duvernay,27,JAX,WR,13,1,16,11,79,7,16,1.5,63,5.7,11.4,0.0,,1,6.3,53.9,522,3.07
268,Tyler Goodson,24,IND,RB,16,0,15,11,61,3,-6,-0.5,67,6.1,1.3,2.0,5.5,2,13.3,102.4,492,3.05
269,Alec Ingold,28,MIA,FB,15,10,12,11,96,3,20,1.8,76,6.9,2.1,0.0,,0,0.0,100.0,568,2.11
270,Jordan Mason,25,SFO,RB,12,6,14,11,91,5,32,2.9,59,5.4,3.7,1.0,11.0,0,0.0,93.7,513,2.73
271,Eric Saubert,30,SFO,TE,17,3,14,11,97,5,62,5.6,35,3.2,5.2,0.0,,1,7.1,119.3,513,2.73
272,Tylan Wallace,25,BAL,WR,17,0,12,11,193,5,65,5.9,128,11.6,6.1,1.0,11.0,1,8.3,146.5,457,2.63
273,Emanuel Wilson,25,GNB,RB,17,0,14,11,48,3,-51,-4.6,99,9.0,-4.5,1.0,11.0,0,0.0,104.8,464,3.02
274,Michael Burton,32,DEN,FB,17,2,10,10,65,3,24,2.4,41,4.1,2.4,0.0,,0,0.0,127.1,549,1.82
275,Ryan Flournoy,25,DAL,WR,11,1,14,10,102,5,68,6.8,34,3.4,8.2,0.0,,1,7.1,92.0,622,2.25
276,Eric Gray,25,NYG,RB,17,0,11,10,82,3,-21,-2.1,103,10.3,-2.0,1.0,10.0,1,9.1,97.7,554,1.99
277,Jamycal Hasty,28,NWE,RB,15,0,12,10,59,2,-13,-1.3,72,7.2,-1.3,1.0,10.0,0,0.0,114.9,500,2.4
278,Malik Heath,24,GNB,WR,13,1,13,10,97,5,74,7.4,23,2.3,6.5,0.0,,0,0.0,136.9,464,2.8
279,Khalil Herbert,26,2TM,RB,14,1,11,10,25,0,-19,-1.9,44,4.4,-2.1,0.0,,1,9.1,79.2,481,2.29
279,Khalil Herbert,26,CHI,RB,6,0,2,2,4,0,-2,-1.0,6,3.0,-1.0,0.0,,0,0.0,79.2,527,0.38
279,Khalil Herbert,26,CIN,RB,8,1,9,8,21,0,-17,-2.1,38,4.8,-2.3,0.0,,1,11.1,79.2,628,1.43
280,Odell Beckham Jr.,32,MIA,WR,9,0,18,9,55,3,41,4.6,14,1.6,7.6,0.0,,1,5.6,33.3,568,3.17
281,Marquise Brown,27,KAN,WR,2,1,15,9,91,5,45,5.0,46,5.1,8.2,0.0,,0,0.0,77.4,572,2.62
282,Harrison Bryant,26,LVR,TE,13,3,12,9,86,5,15,1.7,71,7.9,3.4,2.0,4.5,0,0.0,59.7,592,2.03
283,DeAndre Carter,31,CHI,WR,13,0,14,9,72,3,40,4.4,32,3.6,11.1,2.0,4.5,0,0.0,47.3,527,2.66
284,Jamison Crowder,31,WAS,WR,6,1,13,9,72,4,61,6.8,11,1.2,8.3,0.0,,0,0.0,90.4,504,2.58
285,Isaiah Davis,22,NYJ,RB,17,0,12,9,75,4,0,0.0,75,8.3,1.3,0.0,,1,8.3,118.4,589,2.04
286,Rakim Jarrett,23,TAM,WR,10,2,11,9,124,5,106,11.8,18,2.0,11.5,0.0,,0,0.0,113.6,563,1.95
287,Charlie Kolar,25,BAL,TE,13,3,11,9,131,4,55,6.1,76,8.4,6.0,0.0,,0,0.0,146.6,457,2.41
288,Jeremy McNichols,29,WAS,RB,17,1,12,9,27,1,-6,-0.7,33,3.7,1.6,0.0,,0,0.0,77.1,504,2.38
289,Bub Means,23,NOR,WR,7,1,15,9,118,7,98,10.9,20,2.2,11.3,0.0,,1,6.7,107.1,517,2.9
290,Andrew Ogletree,26,IND,TE,17,6,14,9,109,6,59,6.6,50,5.6,10.7,0.0,,1,7.1,82.1,492,2.85
291,Durham Smythe,29,MIA,TE,17,4,17,9,53,1,37,4.1,16,1.8,5.5,0.0,,1,5.9,59.2,568,2.99
292,Brevyn Spann-Ford,25,DAL,TE,17,0,14,9,88,6,35,3.9,53,5.9,5.9,0.0,,0,0.0,81.8,622,2.25
293,Sean Tucker,23,TAM,RB,17,0,12,9,109,6,4,0.4,105,11.7,0.6,1.0,9.0,0,0.0,130.2,563,2.13
294,Jamaal Williams,29,NOR,RB,14,1,11,9,57,3,4,0.4,53,5.9,-1.3,0.0,,0,0.0,88.3,517,2.13
295,John Bates,27,WAS,TE,17,6,13,8,84,3,35,4.4,49,6.1,4.8,1.0,8.0,1,7.7,80.3,504,2.58
296,Pharaoh Brown,30,SEA,TE,15,7,12,8,65,2,35,4.4,30,3.8,4.2,1.0,8.0,1,8.3,80.2,569,2.11
297,Gerald Everett,30,CHI,TE,17,4,13,8,36,1,-5,-0.6,41,5.1,2.8,2.0,4.0,1,7.7,65.9,527,2.47
298,Tyler Higbee,31,LAR,TE,3,3,12,8,66,5,18,2.3,48,6.0,2.2,0.0,,0,0.0,120.1,541,2.22
299,Hayden Hurst,31,LAC,TE,9,2,13,8,73,2,53,6.6,20,2.5,4.8,0.0,,2,15.4,76.8,491,2.65
300,Jalin Hyatt,23,NYG,WR,16,3,19,8,62,3,56,7.0,6,0.8,19.1,0.0,,2,10.5,11.2,554,3.43
301,Zay Jones,29,ARI,WR,11,2,11,8,84,5,65,8.1,19,2.4,8.6,0.0,,0,0.0,56.6,523,2.1
302,Bo Melton,25,GNB,WR,17,0,17,8,91,5,84,10.5,7,0.9,17.8,0.0,,0,0.0,39.1,464,3.66
303,Trent Sherfield,28,MIN,WR,17,1,9,8,83,4,43,5.4,40,5.0,6.0,0.0,,0,0.0,102.5,517,1.74
304,Tank Bigsby,23,JAX,RB,16,1,12,7,54,1,-10,-1.4,64,9.1,-1.1,1.0,7.0,2,16.7,34.7,522,2.3
305,Blake Corum,24,LAR,RB,17,1,8,7,58,5,-7,-1.0,65,9.3,-0.6,1.0,7.0,1,12.5,96.9,541,1.48
306,Britain Covey,27,PHI,WR,5,1,8,7,34,2,6,0.9,28,4.0,1.1,0.0,,1,12.5,84.4,418,1.91
307,River Cracraft,30,MIA,WR,8,0,9,7,66,4,55,7.9,11,1.6,7.9,0.0,,1,11.1,97.2,568,1.58
308,Tucker Fisk,25,LAC,TE,9,5,8,7,39,1,18,2.6,21,3.0,2.5,0.0,,0,0.0,87.0,491,1.63
309,KhaDarel Hodge,29,ATL,WR,17,2,12,7,131,6,42,6.0,89,12.7,10.8,0.0,,1,8.3,124.0,539,2.23
310,Hunter Long,26,LAR,TE,17,2,9,7,60,2,30,4.3,30,4.3,3.4,0.0,,1,11.1,94.4,541,1.66
311,Luke Musgrave,24,GNB,TE,7,3,10,7,45,2,27,3.9,18,2.6,6.6,0.0,,0,0.0,39.6,464,2.16
312,K.J. Osborn,27,NWE,WR,7,4,18,7,57,2,41,5.9,16,2.3,5.9,0.0,,1,5.6,66.2,500,3.6
313,Brandon Powell,29,MIN,WR,17,1,10,7,71,5,59,8.4,12,1.7,10.1,0.0,,0,0.0,90.0,517,1.93
